缺口编号,体系,对应问题,维度,缺少什么,原因,有限替代,判断边界,后续核验动作
GAP001,K,总体需求与结构,省级/地级,31省及全部地级最终消费/资本形成/净出口同口径高频完整矩阵,全国和北京个别年报核验不足以证明全覆盖；全国公报只给三大需求拉动。,地方GDP、社零、财政、投资分别观察并明确样本；需额外逐地原文验证。,不把社零替代最终消费、不按全国权重分摊地区需求。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP002,M,货币存量到名义支出,机构部门,全社会逐月货币资产—融资—支出完整部门对应矩阵,已核验源分别是金融存量流量及GDP/住户调查，没有可直接追踪每单位资金用途的联表。,贷款与存款部门结构、社融工具结构与名义GDP并列观察。,只能描述共变；不计算资金空转率或货币传导效率。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP003,G,劳动投入与效率,居民群体/行业,同口径全体就业者工时分布、劳动参与和行业小时投入稳定公开全矩阵,月报是企业平均周工时，年报就业人数与之人群/期间不同。,官方全员劳动生产率、企业工时和失业率联合解释。,不能计算小时生产率或推断TFP。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP004,K,就业反馈,居民群体,2023年7—11月连续可比分年龄失业率,2023年8月宣布停发，2023年12月新口径起点排除在校生并新增年龄组。,新旧序列分面显示，缺失留空；总失业率作不同口径辅助。,不插值、不将旧16—24与新16—24当连续序列。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP005,M,货币结构,全国,2024年以前新口径M1完整官方回溯的本轮核验,A_S14只明确2024各月回溯；本轮未取得此前新口径长序列。,新M1从官方已提供回溯起，旧M1单列。,不能用比例延展或自行加总未核验个人活期/备付金。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP006,K,服务消费,全国/行业,全部服务零售绝对额及稳定行业矩阵；2026线上总额之前可比长序列,服务零售主要公开增速；2026线上总额扩围，新旧总额不可比。,服务零售增速、住户服务消费占比、2026网上服务新序列。,不凭同比反推没有基期的总额；不把不同口径服务指标相加。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP007,F,偿债能力与资产质量,省级,31省与地级可比银行资产质量及期限缺口,本轮全国监管表仅机构分类，地方局口径不一未形成全覆盖,用六类银行分组与逐地官方样本，并逐项标口径,不得用一个地方报告证明31省覆盖,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP008,F,政府债务与金融传导,机构部门,统一、连续、免费可核验的全国隐性债务与完整地方政府资产负债表,法定债务余额不是隐债总体；公开估算口径不符合本任务规则,法定一般/专项债、还本付息、预算财力和公开置换用途并列,不得构造城投隐债模型估算或把显性总债务当风险,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP009,G,资本投入到效率,行业,可比实际资本存量和行业TFP,FAI为投资工作量、平均账面资产也不是实际资本存量,设备投资、资产周转、收入利润率、实际增加值和工时配套,不以FAI替代资本形成或自行估算资本存量TFP,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP010,S,经营可持续性,企业类型,规下企业和全体服务业的同口径月度盈利现金流,规上工业样本限定且月报无现金流表,独立标注工业范围，用年度经济普查/公开财报补充样本,不得将规上工业利润外推全国企业利润,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP011,F,房地产库存与资金链,地级,全国地级可比未售未竣工、空置、停工及开发现金流,待售仅竣工可售租；本轮缺少稳定全口径市级清单,销售/到位资金/新开工/竣工/待售组成有限证据组,不得把待售当全部库存或销售额当现金收款,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP012,F,对外流动性,机构部门,剩余期限一年内全部到期外债、分币种可用资产匹配,已读外债按签约期限，储备不可简单归属私人部门,使用全口径外债及其币种、部门结构，另查剩余期限公开表,不得用签约短债比直接声称未来一年偿付缺口,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP013,D,政府收支分配与再分配,省级,31省及地级四本预算完整可比决算及转移收支合并,本轮仅全国/中央报告，尚无全省逐表核验,逐省预算决算公开目录进一步登记，先用中央地方合计,全国合计和个别省样本不是31省覆盖证明,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP014,G,生产效率来源,全国/行业/企业类型,可直接公开观测的TFP、资本存量和产出缺口,本任务禁用模型自行估计；公开劳动生产率不能分离资本深化、劳动质量与技术效率。,全员劳动生产率、R&D人员全时当量、教育年限、行业结构配套观察。,不得命名为TFP或用回归残差补缺。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP015,I,创新回报与技术替代,企业类型/行业,统一可比的创新净回报、替代率和受限技术自给率,专利数量、产业化率、累计收益、企业新产品销售口径和期限不同。,分别展示投入、专利转化、新产品销售、行业产品贸易/供给；明确非因果。,不能用专利授权占比或国产产量直接认定技术自主率。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP016,D,分配差距,省级/地级,全国统一口径的31省、地级五等份/基尼/财富分布连续表,本轮仅核验全国五等份和城乡中位数；住户调查样本涉及县区不等于各县区公开完整分布。,全国五等份、城乡均值中位数；地方官方表逐地增补并标部分覆盖。,不外推未公开地区、不用分组均值精确重建分布。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP017,D,劳动与资本收入分配,机构部门,可无歧义拆分混合收入的劳动报酬份额,住户经营净收入含混合回报；国民账户劳动报酬处理须按年份方法修订核查。,资金流量表交root统一核验；本组仅收入来源，明确不等同要素份额。,不得把工资/可支配收入或1-劳动报酬份额直接命名资本所得。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP018,S,能源供给瓶颈,省级/行业,持续完整的分电源利用小时与区域可用容量、输电拥塞,本轮能源局当前页仅全国平均小时；装机分项不是可用容量。,全国装机结构、平均利用小时、能源消费与清洁占比，并逐省另核验。,平均小时下降不能单独认定产能过剩或电力短缺消除。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP019,全部,地级与居民/行业交叉,地级,全国全部地级单位×全部指标×居民/行业的免费连续交叉表,官方城市统计制度说明不提供完整免费矩阵；本次仅确认实际公开样本和上级表覆盖,全国/分省公开统计作相应层级判断，已核验城市另列,不把制度范围或城市目录数量当作逐单元数据覆盖,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP020,G,G3,全国/行业/地级,全要素生产率与潜在增速,需要资本存量、折旧、产出弹性等模型假设，超出本版透明计算边界,官方全员劳动生产率、实际产出和就业等观察证据,不能将替代证据命名为TFP或潜在增速,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP021,K,空间差异是否覆盖全部地区？,省级/地级,本组生产与利用率指标的31省和全部地级连续分项,已核验国家发布页不含完整地方面板,逐地官方来源补充并核验口径；标记部分覆盖,不能把调查全国覆盖等同于地方序列全部公开。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP022,F,住房价格能否代表全国抵押资产价值？,地级,70城以外、县域住房可比价格和无成交时可变现价格,现行核验范围限70城市辖区住宅成交调查,限定城市、房类及交易量联合分析,不外推全国房价、不自动重估全国抵押物。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP023,F,F1/F2,全国,2025年末外债原文短期份额56%与人民币展示余额复算56.546866%的差异说明,B_S17原文整数份额与余额之比并非通常四舍五入一致，尚无进一步官方解释,保留原文56%与透明派生56.546866%并注明各自位置、币种和版本,不覆盖原值，不称误差已经解释，不混用美元舍入数,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
